Generations:
0: ((6, 7, 8, 0, 3, 5, 4, 9, 1, 2), 779)
1: ((7, 2, 4, 1, 8, 5, 6, 0, 9, 3), 752)
2: ((2, 3, 4, 7, 8, 0, 1, 5, 6, 9), 775)
3: ((2, 3, 4, 7, 8, 0, 1, 5, 6, 9), 775)
4: ((2, 4, 1, 5, 8, 6, 0, 9, 3, 7), 774)
5: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
6: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
7: ((3, 7, 4, 8, 5, 1, 0, 6, 9, 2), 755)
8: ((3, 7, 4, 8, 5, 1, 0, 6, 9, 2), 755)
9: ((3, 7, 4, 8, 5, 1, 0, 6, 9, 2), 755)
10: ((3, 7, 4, 8, 5, 1, 0, 6, 9, 2), 755)
11: ((3, 7, 4, 8, 5, 1, 0, 6, 9, 2), 755)
12: ((3, 7, 4, 8, 5, 1, 0, 6, 9, 2), 755)
13: ((3, 7, 4, 8, 5, 1, 0, 6, 9, 2), 755)
14: ((3, 7, 4, 8, 5, 1, 0, 6, 9, 2), 755)
15: ((3, 7, 4, 8, 5, 1, 0, 6, 9, 2), 755)
16: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
17: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
18: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
19: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
20: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
21: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
22: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
23: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
24: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
25: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
26: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
27: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
28: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
29: ((7, 2, 4, 0, 1, 6, 5, 9, 3, 8), 753)
30: ((7, 2, 4, 0, 1, 6, 5, 9, 3, 8), 753)
31: ((4, 7, 2, 1, 5, 8, 6, 0, 9, 3), 746)
32: ((4, 7, 2, 1, 5, 8, 6, 0, 9, 3), 746)
33: ((4, 7, 2, 1, 5, 8, 6, 0, 9, 3), 746)
34: ((4, 7, 2, 1, 5, 8, 6, 0, 9, 3), 746)
35: ((7, 2, 4, 0, 1, 6, 5, 9, 3, 8), 753)
36: ((7, 2, 4, 0, 1, 6, 5, 9, 3, 8), 753)
37: ((7, 2, 4, 0, 1, 6, 5, 9, 3, 8), 753)
38: ((7, 2, 4, 0, 1, 6, 5, 9, 3, 8), 753)
39: ((2, 7, 4, 8, 1, 0, 6, 9, 3, 5), 755)
40: ((2, 7, 4, 8, 1, 0, 6, 9, 3, 5), 755)
41: ((2, 7, 4, 8, 1, 0, 6, 9, 3, 5), 755)
42: ((2, 4, 3, 0, 7, 1, 6, 5, 8, 9), 757)
43: ((4, 5, 2, 7, 8, 0, 6, 3, 9, 1), 755)
44: ((4, 5, 2, 7, 8, 0, 6, 3, 9, 1), 755)
45: ((4, 5, 2, 7, 8, 0, 6, 3, 9, 1), 755)
46: ((4, 5, 2, 7, 8, 0, 6, 3, 9, 1), 755)
47: ((4, 5, 2, 7, 8, 0, 6, 3, 9, 1), 755)
48: ((4, 5, 2, 7, 8, 0, 6, 3, 9, 1), 755)
49: ((5, 4, 2, 0, 7, 6, 3, 9, 8, 1), 751)
50: ((5, 4, 2, 0, 7, 6, 3, 9, 8, 1), 751)
51: ((5, 4, 2, 0, 7, 6, 3, 9, 8, 1), 751)
52: ((5, 4, 2, 0, 7, 6, 3, 9, 8, 1), 751)
53: ((4, 5, 2, 7, 8, 0, 6, 3, 9, 1), 755)
54: ((4, 5, 2, 7, 8, 0, 6, 3, 9, 1), 755)
55: ((4, 5, 2, 7, 8, 0, 6, 3, 9, 1), 755)
56: ((2, 4, 7, 8, 0, 1, 5, 6, 9, 3), 757)
57: ((2, 4, 7, 8, 0, 1, 5, 6, 9, 3), 757)
58: ((4, 5, 2, 7, 8, 0, 6, 3, 9, 1), 755)
59: ((7, 2, 4, 1, 5, 6, 0, 3, 9, 8), 758)
60: ((7, 2, 4, 1, 5, 6, 0, 3, 9, 8), 758)
61: ((7, 2, 4, 1, 5, 6, 0, 3, 9, 8), 758)
62: ((5, 4, 2, 0, 7, 6, 3, 8, 9, 1), 753)
63: ((2, 7, 8, 1, 4, 0, 5, 6, 9, 3), 751)
64: ((2, 7, 8, 1, 4, 0, 5, 6, 9, 3), 751)
65: ((2, 7, 8, 1, 4, 0, 5, 6, 9, 3), 751)
66: ((2, 7, 8, 1, 4, 0, 5, 6, 9, 3), 751)
67: ((2, 7, 8, 1, 4, 0, 5, 6, 9, 3), 751)
68: ((5, 4, 2, 0, 7, 6, 3, 8, 9, 1), 753)
