Generations:
0: ((48, 21, 3, 6, 7, 15, 26, 19, 22, 33, 1, 32, 35, 37, 9, 45, 49, 38, 20, 11, 12, 31, 30, 8, 10, 46, 27, 41, 25, 36, 28, 34, 42, 14, 39, 18, 24, 13, 47, 17, 23, 5, 43, 4, 2, 16, 29, 0, 40, 44), 1557)
1: ((48, 21, 3, 6, 7, 15, 26, 19, 22, 33, 1, 32, 35, 37, 9, 45, 49, 38, 20, 11, 12, 31, 30, 8, 10, 46, 27, 41, 25, 36, 28, 34, 42, 14, 39, 18, 24, 13, 47, 17, 23, 5, 43, 4, 2, 16, 29, 0, 40, 44), 1557)
2: ((48, 21, 3, 6, 7, 15, 26, 19, 22, 33, 1, 32, 35, 37, 9, 45, 49, 38, 20, 11, 12, 31, 30, 8, 10, 46, 27, 41, 25, 36, 28, 34, 42, 14, 39, 18, 24, 13, 47, 17, 23, 5, 43, 4, 2, 16, 29, 0, 40, 44), 1557)
3: ((48, 21, 3, 6, 7, 15, 26, 19, 22, 33, 1, 32, 35, 37, 9, 45, 49, 38, 20, 11, 12, 31, 30, 8, 10, 46, 27, 41, 25, 36, 28, 34, 42, 14, 39, 18, 24, 13, 47, 17, 23, 5, 43, 4, 2, 16, 29, 0, 40, 44), 1557)
4: ((48, 21, 3, 6, 7, 15, 26, 19, 22, 33, 1, 32, 35, 37, 9, 45, 49, 38, 20, 11, 12, 31, 30, 8, 10, 46, 27, 41, 25, 36, 28, 34, 42, 14, 39, 18, 24, 13, 47, 17, 23, 5, 43, 4, 2, 16, 29, 0, 40, 44), 1557)
5: ((48, 21, 3, 6, 7, 15, 26, 19, 22, 33, 1, 32, 35, 37, 9, 45, 49, 38, 20, 11, 12, 31, 30, 8, 10, 46, 27, 41, 25, 36, 28, 34, 42, 14, 39, 18, 24, 13, 47, 17, 23, 5, 43, 4, 2, 16, 29, 0, 40, 44), 1557)
6: ((48, 21, 3, 6, 7, 15, 26, 19, 22, 33, 1, 32, 35, 37, 9, 45, 49, 38, 20, 11, 12, 31, 30, 8, 10, 46, 27, 41, 25, 36, 28, 34, 42, 14, 39, 18, 24, 13, 47, 17, 23, 5, 43, 4, 2, 16, 29, 0, 40, 44), 1557)
7: ((48, 21, 3, 6, 7, 15, 26, 19, 22, 33, 1, 32, 35, 37, 9, 45, 49, 38, 20, 11, 12, 31, 30, 8, 10, 46, 27, 41, 25, 36, 28, 34, 42, 14, 39, 18, 24, 13, 47, 17, 23, 5, 43, 4, 2, 16, 29, 0, 40, 44), 1557)
8: ((48, 21, 3, 6, 7, 15, 26, 19, 22, 33, 1, 32, 35, 37, 9, 45, 49, 38, 20, 11, 12, 31, 30, 8, 10, 46, 27, 41, 25, 36, 28, 34, 42, 14, 39, 18, 24, 13, 47, 17, 23, 5, 43, 4, 2, 16, 29, 0, 40, 44), 1557)
9: ((48, 21, 3, 6, 7, 15, 26, 19, 22, 33, 1, 32, 35, 37, 9, 45, 49, 38, 20, 11, 12, 31, 30, 8, 10, 46, 27, 41, 25, 36, 28, 34, 42, 14, 39, 18, 24, 13, 47, 17, 23, 5, 43, 4, 2, 16, 29, 0, 40, 44), 1557)
10: ((1, 33, 5, 20, 28, 4, 31, 41, 2, 7, 16, 25, 30, 3, 35, 48, 21, 11, 13, 32, 34, 49, 46, 42, 14, 22, 37, 0, 10, 38, 24, 43, 19, 40, 8, 36, 18, 17, 45, 29, 9, 27, 26, 12, 15, 39, 47, 6, 23, 44), 1556)
11: ((1, 33, 5, 20, 28, 4, 31, 41, 2, 7, 16, 25, 30, 3, 35, 48, 21, 11, 13, 32, 34, 49, 46, 42, 14, 22, 37, 0, 10, 38, 24, 43, 19, 40, 8, 36, 18, 17, 45, 29, 9, 27, 26, 12, 15, 39, 47, 6, 23, 44), 1556)
12: ((1, 33, 5, 20, 28, 4, 31, 41, 2, 7, 16, 25, 30, 3, 35, 48, 21, 11, 13, 32, 34, 49, 46, 42, 14, 22, 37, 0, 10, 38, 24, 43, 19, 40, 8, 36, 18, 17, 45, 29, 9, 27, 26, 12, 15, 39, 47, 6, 23, 44), 1556)
13: ((1, 33, 5, 20, 28, 4, 31, 41, 2, 7, 16, 25, 30, 3, 35, 48, 21, 11, 13, 32, 34, 49, 46, 42, 14, 22, 37, 0, 10, 38, 24, 43, 19, 40, 8, 36, 18, 17, 45, 29, 9, 27, 26, 12, 15, 39, 47, 6, 23, 44), 1556)
14: ((1, 33, 5, 20, 28, 4, 31, 41, 2, 7, 16, 25, 30, 3, 35, 48, 21, 11, 13, 32, 34, 49, 46, 42, 14, 22, 37, 0, 10, 38, 24, 43, 19, 40, 8, 36, 18, 17, 45, 29, 9, 27, 26, 12, 15, 39, 47, 6, 23, 44), 1556)
15: ((1, 33, 5, 20, 28, 4, 31, 41, 2, 7, 16, 25, 30, 3, 35, 48, 21, 11, 13, 32, 34, 49, 46, 42, 14, 22, 37, 0, 10, 38, 24, 43, 19, 40, 8, 36, 18, 17, 45, 29, 9, 27, 26, 12, 15, 39, 47, 6, 23, 44), 1556)
16: ((1, 33, 5, 20, 28, 4, 31, 41, 2, 7, 16, 25, 30, 3, 35, 48, 21, 11, 13, 32, 34, 49, 46, 42, 14, 22, 37, 0, 10, 38, 24, 43, 19, 40, 8, 36, 18, 17, 45, 29, 9, 27, 26, 12, 15, 39, 47, 6, 23, 44), 1556)
17: ((1, 33, 5, 20, 28, 4, 31, 41, 2, 7, 16, 25, 30, 3, 35, 48, 21, 11, 13, 32, 34, 49, 46, 42, 14, 22, 37, 0, 10, 38, 24, 43, 19, 40, 8, 36, 18, 17, 45, 29, 9, 27, 26, 12, 15, 39, 47, 6, 23, 44), 1556)
18: ((1, 33, 5, 20, 28, 4, 31, 41, 2, 7, 16, 25, 30, 3, 35, 48, 21, 11, 13, 32, 34, 49, 46, 42, 14, 22, 37, 0, 10, 38, 24, 43, 19, 40, 8, 36, 18, 17, 45, 29, 9, 27, 26, 12, 15, 39, 47, 6, 23, 44), 1556)
19: ((1, 33, 5, 20, 28, 4, 31, 41, 2, 7, 16, 25, 30, 3, 35, 48, 21, 11, 13, 32, 34, 49, 46, 42, 14, 22, 37, 0, 10, 38, 24, 43, 19, 40, 8, 36, 18, 17, 45, 29, 9, 27, 26, 12, 15, 39, 47, 6, 23, 44), 1556)
20: ((1, 33, 5, 20, 28, 4, 31, 41, 2, 7, 16, 25, 30, 3, 35, 48, 21, 11, 13, 32, 34, 49, 46, 42, 14, 22, 37, 0, 10, 38, 24, 43, 19, 40, 8, 36, 18, 17, 45, 29, 9, 27, 26, 12, 15, 39, 47, 6, 23, 44), 1556)
21: ((1, 33, 5, 20, 28, 4, 31, 41, 2, 7, 16, 25, 30, 3, 35, 48, 21, 11, 13, 32, 34, 49, 46, 42, 14, 22, 37, 0, 10, 38, 24, 43, 19, 40, 8, 36, 18, 17, 45, 29, 9, 27, 26, 12, 15, 39, 47, 6, 23, 44), 1556)
22: ((1, 33, 5, 20, 28, 4, 31, 41, 2, 7, 16, 25, 30, 3, 35, 48, 21, 11, 13, 32, 34, 49, 46, 42, 14, 22, 37, 0, 10, 38, 24, 43, 19, 40, 8, 36, 18, 17, 45, 29, 9, 27, 26, 12, 15, 39, 47, 6, 23, 44), 1556)
23: ((1, 33, 5, 20, 28, 4, 31, 41, 2, 7, 16, 25, 30, 3, 35, 48, 21, 11, 13, 32, 34, 49, 46, 42, 14, 22, 37, 0, 10, 38, 24, 43, 19, 40, 8, 36, 18, 17, 45, 29, 9, 27, 26, 12, 15, 39, 47, 6, 23, 44), 1556)
