Generations:
0: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
1: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
2: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
3: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
4: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
5: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
6: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
7: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
8: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
9: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
10: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
11: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
12: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
13: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
14: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
15: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
16: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
17: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
18: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
19: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
20: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
21: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
22: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
23: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
24: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
25: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
26: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
27: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
28: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
29: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
30: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
31: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
32: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
33: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
34: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
35: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
36: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
37: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
38: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
39: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
40: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
41: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
42: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
43: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
44: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
45: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
46: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
47: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
48: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
49: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
50: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
51: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
52: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
53: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
54: ((5, 6, 9, 11, 14, 0, 2, 12, 3, 10, 13, 1, 7, 4, 8), 952)
