Generations:
0: ((9, 2, 7, 3, 5, 1, 8, 4, 6, 0), 660)
1: ((3, 7, 5, 4, 0, 2, 1, 8, 6, 9), 657)
2: ((3, 7, 5, 4, 0, 2, 1, 8, 6, 9), 657)
3: ((3, 7, 5, 4, 0, 2, 1, 8, 6, 9), 657)
4: ((2, 5, 7, 4, 3, 9, 1, 6, 0, 8), 657)
5: ((2, 5, 7, 4, 3, 9, 1, 6, 0, 8), 657)
6: ((2, 5, 7, 4, 3, 9, 1, 6, 0, 8), 657)
7: ((2, 7, 3, 5, 1, 8, 4, 6, 0, 9), 657)
8: ((2, 7, 3, 5, 1, 8, 4, 6, 0, 9), 657)
9: ((2, 7, 3, 5, 1, 8, 4, 6, 0, 9), 657)
10: ((2, 7, 3, 5, 1, 8, 4, 6, 0, 9), 657)
11: ((2, 7, 3, 5, 1, 8, 4, 6, 0, 9), 657)
12: ((2, 7, 3, 5, 1, 8, 4, 6, 0, 9), 657)
13: ((2, 7, 3, 5, 1, 8, 4, 6, 0, 9), 657)
14: ((2, 7, 3, 5, 1, 8, 4, 6, 0, 9), 657)
15: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
16: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
17: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
18: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
19: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
20: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
21: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
22: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
23: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
24: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
25: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
26: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
27: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
28: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
29: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
30: ((3, 7, 1, 8, 0, 6, 5, 4, 9, 2), 657)
31: ((2, 9, 0, 7, 3, 1, 6, 4, 5, 8), 657)
32: ((2, 9, 0, 7, 3, 1, 6, 4, 5, 8), 657)
33: ((2, 9, 0, 7, 3, 1, 6, 4, 5, 8), 657)
34: ((2, 9, 0, 7, 3, 1, 6, 4, 5, 8), 657)
35: ((2, 9, 0, 7, 3, 1, 6, 4, 5, 8), 657)
36: ((2, 9, 0, 7, 3, 1, 6, 4, 5, 8), 657)
37: ((2, 9, 0, 7, 3, 1, 6, 4, 5, 8), 657)
38: ((2, 9, 0, 7, 3, 1, 6, 4, 5, 8), 657)
39: ((2, 9, 0, 7, 3, 1, 6, 4, 5, 8), 657)
40: ((2, 9, 0, 7, 3, 1, 6, 4, 5, 8), 657)
41: ((2, 9, 0, 7, 3, 1, 6, 4, 5, 8), 657)
42: ((2, 9, 0, 7, 3, 1, 6, 4, 5, 8), 657)
43: ((2, 9, 0, 7, 3, 1, 6, 4, 5, 8), 657)
44: ((2, 9, 0, 7, 3, 1, 6, 4, 5, 8), 657)
45: ((3, 5, 7, 2, 1, 8, 4, 0, 6, 9), 657)
46: ((3, 5, 7, 2, 1, 8, 4, 0, 6, 9), 657)
47: ((3, 5, 7, 2, 1, 8, 4, 0, 6, 9), 657)
48: ((3, 5, 7, 2, 1, 8, 4, 0, 6, 9), 657)
49: ((3, 5, 7, 2, 1, 8, 4, 0, 6, 9), 657)
50: ((3, 5, 7, 2, 1, 8, 4, 0, 6, 9), 657)
51: ((3, 5, 7, 2, 1, 8, 4, 0, 6, 9), 657)
52: ((3, 5, 7, 2, 1, 8, 4, 0, 6, 9), 657)
53: ((3, 5, 7, 2, 1, 8, 4, 0, 6, 9), 657)
54: ((9, 7, 3, 4, 1, 8, 6, 0, 5, 2), 657)
55: ((9, 7, 3, 4, 1, 8, 6, 0, 5, 2), 657)
56: ((9, 7, 3, 4, 1, 8, 6, 0, 5, 2), 657)
57: ((9, 7, 3, 4, 1, 8, 6, 0, 5, 2), 657)
58: ((9, 7, 3, 4, 1, 8, 6, 0, 5, 2), 657)
59: ((9, 7, 3, 4, 1, 8, 6, 0, 5, 2), 657)
60: ((9, 7, 3, 4, 1, 8, 6, 0, 5, 2), 657)
61: ((9, 7, 3, 4, 1, 8, 6, 0, 5, 2), 657)
62: ((9, 7, 3, 4, 1, 8, 6, 0, 5, 2), 657)
63: ((9, 7, 3, 4, 1, 8, 6, 0, 5, 2), 657)
64: ((9, 7, 3, 4, 1, 8, 6, 0, 5, 2), 657)
