Generations:
0: ((74, 12, 21, 45, 54, 67, 61, 56, 68, 72, 11, 33, 40, 48, 6, 20, 39, 18, 58, 49, 22, 29, 59, 36, 25, 55, 66, 70, 14, 64, 4, 31, 0, 62, 42, 10, 27, 23, 69, 63, 1, 52, 37, 57, 50, 5, 41, 73, 65, 2, 3, 7, 9, 34, 53, 15, 38, 19, 17, 35, 26, 30, 43, 13, 60, 46, 44, 51, 47, 16, 28, 71, 32, 24, 8), 1386)
1: ((74, 12, 21, 45, 54, 67, 61, 56, 68, 72, 11, 33, 40, 48, 6, 20, 39, 18, 58, 49, 22, 29, 59, 36, 25, 55, 66, 70, 14, 64, 4, 31, 0, 62, 42, 10, 27, 23, 69, 63, 1, 52, 37, 57, 50, 5, 41, 73, 65, 2, 3, 7, 9, 34, 53, 15, 38, 19, 17, 35, 26, 30, 43, 13, 60, 46, 44, 51, 47, 16, 28, 71, 32, 24, 8), 1386)
2: ((74, 12, 21, 45, 54, 67, 61, 56, 68, 72, 11, 33, 40, 48, 6, 20, 39, 18, 58, 49, 22, 29, 59, 36, 25, 55, 66, 70, 14, 64, 4, 31, 0, 62, 42, 10, 27, 23, 69, 63, 1, 52, 37, 57, 50, 5, 41, 73, 65, 2, 3, 7, 9, 34, 53, 15, 38, 19, 17, 35, 26, 30, 43, 13, 60, 46, 44, 51, 47, 16, 28, 71, 32, 24, 8), 1386)
3: ((74, 12, 21, 45, 54, 67, 61, 56, 68, 72, 11, 33, 40, 48, 6, 20, 39, 18, 58, 49, 22, 29, 59, 36, 25, 55, 66, 70, 14, 64, 4, 31, 0, 62, 42, 10, 27, 23, 69, 63, 1, 52, 37, 57, 50, 5, 41, 73, 65, 2, 3, 7, 9, 34, 53, 15, 38, 19, 17, 35, 26, 30, 43, 13, 60, 46, 44, 51, 47, 16, 28, 71, 32, 24, 8), 1386)
4: ((74, 12, 21, 45, 54, 67, 61, 56, 68, 72, 11, 33, 40, 48, 6, 20, 39, 18, 58, 49, 22, 29, 59, 36, 25, 55, 66, 70, 14, 64, 4, 31, 0, 62, 42, 10, 27, 23, 69, 63, 1, 52, 37, 57, 50, 5, 41, 73, 65, 2, 3, 7, 9, 34, 53, 15, 38, 19, 17, 35, 26, 30, 43, 13, 60, 46, 44, 51, 47, 16, 28, 71, 32, 24, 8), 1386)
5: ((74, 12, 21, 45, 54, 67, 61, 56, 68, 72, 11, 33, 40, 48, 6, 20, 39, 18, 58, 49, 22, 29, 59, 36, 25, 55, 66, 70, 14, 64, 4, 31, 0, 62, 42, 10, 27, 23, 69, 63, 1, 52, 37, 57, 50, 5, 41, 73, 65, 2, 3, 7, 9, 34, 53, 15, 38, 19, 17, 35, 26, 30, 43, 13, 60, 46, 44, 51, 47, 16, 28, 71, 32, 24, 8), 1386)
6: ((74, 12, 21, 45, 54, 67, 61, 56, 68, 72, 11, 33, 40, 48, 6, 20, 39, 18, 58, 49, 22, 29, 59, 36, 25, 55, 66, 70, 14, 64, 4, 31, 0, 62, 42, 10, 27, 23, 69, 63, 1, 52, 37, 57, 50, 5, 41, 73, 65, 2, 3, 7, 9, 34, 53, 15, 38, 19, 17, 35, 26, 30, 43, 13, 60, 46, 44, 51, 47, 16, 28, 71, 32, 24, 8), 1386)
7: ((74, 12, 21, 45, 54, 67, 61, 56, 68, 72, 11, 33, 40, 48, 6, 20, 39, 18, 58, 49, 22, 29, 59, 36, 25, 55, 66, 70, 14, 64, 4, 31, 0, 62, 42, 10, 27, 23, 69, 63, 1, 52, 37, 57, 50, 5, 41, 73, 65, 2, 3, 7, 9, 34, 53, 15, 38, 19, 17, 35, 26, 30, 43, 13, 60, 46, 44, 51, 47, 16, 28, 71, 32, 24, 8), 1386)
8: ((74, 12, 21, 45, 54, 67, 61, 56, 68, 72, 11, 33, 40, 48, 6, 20, 39, 18, 58, 49, 22, 29, 59, 36, 25, 55, 66, 70, 14, 64, 4, 31, 0, 62, 42, 10, 27, 23, 69, 63, 1, 52, 37, 57, 50, 5, 41, 73, 65, 2, 3, 7, 9, 34, 53, 15, 38, 19, 17, 35, 26, 30, 43, 13, 60, 46, 44, 51, 47, 16, 28, 71, 32, 24, 8), 1386)
9: ((74, 12, 21, 45, 54, 67, 61, 56, 68, 72, 11, 33, 40, 48, 6, 20, 39, 18, 58, 49, 22, 29, 59, 36, 25, 55, 66, 70, 14, 64, 4, 31, 0, 62, 42, 10, 27, 23, 69, 63, 1, 52, 37, 57, 50, 5, 41, 73, 65, 2, 3, 7, 9, 34, 53, 15, 38, 19, 17, 35, 26, 30, 43, 13, 60, 46, 44, 51, 47, 16, 28, 71, 32, 24, 8), 1386)
